iter	Passed	Remaining
0	0	94
1	1	86
2	2	80
3	3	73
4	3	72
5	4	71
6	5	71
7	6	73
8	7	78
9	8	78
10	9	77
11	10	75
12	11	74
13	11	73
14	12	72
15	13	70
16	14	69
17	14	68
18	15	66
19	16	65
20	17	64
21	17	63
22	18	62
23	19	61
24	19	59
25	20	59
26	21	58
27	22	57
28	23	56
29	24	56
30	24	55
31	25	54
32	26	53
33	27	52
34	28	52
35	29	51
36	29	50
37	30	50
38	31	49
39	32	48
40	33	47
41	33	46
42	34	45
43	34	44
44	35	43
45	37	43
46	38	43
47	40	43
48	41	42
49	41	41
50	42	40
51	43	39
52	43	39
53	44	38
54	45	36
55	45	35
56	46	35
57	47	34
58	47	33
59	48	32
60	49	31
61	49	30
62	50	29
63	51	28
64	51	27
65	52	27
66	53	26
67	53	25
68	54	24
69	55	23
70	55	22
71	56	21
72	56	21
73	57	20
74	58	19
75	58	18
76	59	17
77	60	16
78	60	16
79	61	15
80	62	14
81	62	13
82	64	13
83	64	12
84	65	11
85	66	10
86	67	10
87	68	9
88	69	8
89	70	7
90	70	7
91	71	6
92	72	5
93	73	4
94	74	3
95	74	3
96	75	2
97	76	1
98	77	0
99	78	0
