iter	Passed	Remaining
0	158	158419
1	159	79575
2	160	53266
3	161	40108
4	161	32191
5	162	26908
6	163	23144
7	164	20381
8	165	18250
9	166	16532
10	167	15095
11	168	13882
12	169	12850
13	169	11968
14	170	11207
15	171	10539
16	172	9949
17	172	9425
18	173	8959
19	174	8538
20	174	8157
21	175	7811
22	176	7496
23	177	7206
24	178	6946
25	179	6721
26	180	6503
27	181	6289
28	181	6088
29	182	5901
30	183	5727
31	183	5563
32	184	5409
33	185	5263
34	185	5127
35	186	4997
36	187	4877
37	188	4762
38	188	4652
39	189	4548
40	190	4448
41	190	4353
42	191	4262
43	192	4180
44	193	4110
45	194	4035
46	195	3962
47	196	3892
48	196	3823
49	197	3757
50	198	3692
51	199	3629
52	199	3569
53	200	3512
54	201	3458
55	201	3404
56	202	3352
57	203	3301
58	203	3253
59	204	3205
60	205	3161
61	206	3117
62	207	3082
63	208	3044
64	209	3009
65	209	2970
66	210	2932
67	211	2895
68	211	2858
69	212	2823
70	213	2789
71	213	2755
72	214	2723
73	215	2694
74	216	2664
75	216	2634
76	217	2605
77	218	2577
78	218	2549
79	219	2523
80	220	2496
81	220	2470
82	221	2445
83	222	2426
84	223	2403
85	224	2382
86	224	2359
87	225	2337
88	226	2315
89	226	2295
90	227	2273
91	228	2252
92	228	2232
93	229	2213
94	230	2194
95	231	2175
96	231	2157
97	232	2138
98	233	2120
99	233	2103
100	234	2086
101	235	2069
102	235	2052
103	236	2041
104	237	2028
105	239	2016
106	239	2001
107	240	1986
108	241	1971
109	241	1956
110	242	1942
111	243	1927
112	243	1914
113	244	1900
114	245	1887
115	245	1874
116	246	1860
117	247	1847
118	247	1834
119	248	1821
120	249	1809
121	249	1796
122	250	1784
123	251	1773
124	252	1766
125	253	1757
126	254	1747
127	254	1736
128	255	1725
129	256	1714
130	256	1703
131	257	1693
132	258	1686
133	259	1677
134	260	1670
135	261	1661
136	262	1651
137	262	1641
138	263	1631
139	264	1622
140	264	1613
141	265	1602
142	265	1593
143	266	1586
144	268	1582
145	269	1577
146	270	1569
147	271	1560
148	271	1553
149	272	1544
150	273	1536
151	273	1528
152	274	1520
153	275	1512
154	276	1504
155	276	1497
156	277	1489
157	277	1481
158	278	1473
159	279	1466
160	279	1457
161	280	1450
162	281	1444
163	282	1439
164	283	1433
165	284	1428
166	284	1421
167	285	1414
168	286	1407
169	286	1401
170	287	1394
171	288	1387
172	288	1381
173	289	1374
174	290	1368
175	291	1362
176	291	1356
177	292	1350
178	293	1344
179	293	1337
180	294	1331
181	294	1325
182	295	1319
183	296	1316
184	297	1312
185	298	1308
186	299	1303
187	300	1297
188	301	1292
189	301	1286
190	302	1281
191	303	1275
192	303	1270
193	304	1265
194	305	1259
195	305	1254
196	306	1248
197	306	1243
198	307	1238
199	308	1233
200	308	1227
201	309	1222
202	310	1218
203	311	1214
204	312	1212
205	314	1212
206	315	1208
207	316	1203
208	316	1199
209	317	1194
210	318	1190
211	318	1185
212	319	1181
213	320	1176
214	321	1172
215	321	1167
216	322	1163
217	322	1158
218	323	1153
219	324	1149
220	324	1145
221	325	1140
222	326	1137
223	327	1135
224	329	1134
225	330	1131
226	331	1127
227	331	1123
228	332	1119
229	333	1115
230	333	1111
231	334	1107
232	335	1103
233	335	1099
234	336	1095
235	337	1091
236	337	1087
237	338	1083
238	339	1080
239	339	1076
240	340	1072
241	341	1070
242	343	1068
243	344	1066
244	345	1063
245	346	1061
246	347	1058
247	347	1054
248	348	1051
249	349	1047
250	349	1043
251	350	1040
252	351	1036
253	351	1033
254	352	1029
255	352	1025
256	353	1022
257	354	1018
258	354	1015
259	355	1012
260	356	1010
261	358	1008
262	359	1006
263	360	1004
264	360	1000
265	361	997
266	362	994
267	362	991
268	363	987
269	364	984
270	364	981
271	365	978
272	366	975
273	366	972
274	367	969
275	368	965
276	368	962
277	369	959
278	372	962
279	373	959
280	374	957
281	374	954
282	375	951
283	376	948
284	377	945
285	377	942
286	378	939
287	379	937
288	379	934
289	380	931
290	381	928
291	381	925
292	382	922
293	383	919
294	383	917
295	384	914
296	385	912
297	387	913
298	389	912
299	390	910
300	390	907
301	391	904
302	392	902
303	392	899
304	393	896
305	394	893
306	394	891
307	395	888
308	396	886
309	397	884
310	397	881
311	398	879
312	399	876
313	400	874
314	401	874
315	402	872
316	403	870
317	404	867
318	405	865
319	406	863
320	406	860
321	407	858
322	408	856
323	409	853
324	409	851
325	410	849
326	411	846
327	412	844
328	413	842
329	413	840
330	414	838
331	416	837
332	417	835
333	418	834
334	419	832
335	419	829
336	420	827
337	421	825
338	422	823
339	423	821
340	423	819
341	424	816
342	425	814
343	426	812
344	426	810
345	427	808
346	428	806
347	429	804
348	430	802
349	431	801
350	432	800
351	433	798
352	434	796
353	435	793
354	435	791
355	436	789
356	437	788
357	438	786
358	439	784
359	439	782
360	440	780
361	441	778
362	442	776
363	443	775
364	444	773
365	445	772
366	447	771
367	448	770
368	449	768
369	450	766
370	450	764
371	451	762
372	452	760
373	453	758
374	454	756
375	454	754
376	455	752
377	456	750
378	457	749
379	457	747
380	458	745
381	459	743
382	461	742
383	462	741
384	463	740
385	464	738
386	464	736
387	465	734
388	466	732
389	467	730
390	467	728
391	468	727
392	469	725
393	470	723
394	471	721
395	472	719
396	472	718
397	473	716
398	474	714
399	475	713
400	476	712
401	477	711
402	478	709
403	479	707
404	480	705
405	481	703
406	481	701
407	482	700
408	483	698
409	483	696
410	485	695
411	485	693
412	486	691
413	487	690
414	488	688
415	489	686
416	490	685
417	491	684
418	492	683
419	493	681
420	494	679
421	495	678
422	495	676
423	496	674
424	497	673
425	498	671
426	499	669
427	500	668
428	501	667
429	502	665
430	503	664
431	504	663
432	505	662
433	506	661
434	508	660
435	510	660
436	511	658
437	512	657
438	513	656
439	514	654
440	515	653
441	516	652
442	517	651
443	521	653
444	522	652
445	523	650
446	524	649
447	525	647
448	526	646
449	528	645
450	529	643
451	529	642
452	530	640
453	531	639
454	532	637
455	532	635
456	533	634
457	534	632
458	536	632
459	538	632
460	539	630
461	540	629
462	541	628
463	542	626
464	543	625
465	544	623
466	544	621
467	545	620
468	546	618
469	547	617
470	548	615
471	548	613
472	550	613
473	552	612
474	553	611
475	554	609
476	554	608
477	555	606
478	556	605
479	556	603
480	557	601
481	558	600
482	559	598
483	559	596
484	560	594
485	560	593
486	561	591
487	562	589
488	562	588
489	563	586
490	564	585
491	565	584
492	566	583
493	567	581
494	568	579
495	568	578
496	569	576
497	570	574
498	570	573
499	571	571
500	572	569
501	572	568
502	573	566
503	574	565
504	574	563
505	575	561
506	576	560
507	576	558
508	577	557
509	581	558
510	582	557
511	583	556
512	584	555
513	586	554
514	588	554
515	589	552
516	590	551
517	591	550
518	592	548
519	593	547
520	594	546
521	598	548
522	602	549
523	603	548
524	604	547
525	605	546
526	607	544
527	608	543
528	611	544
529	613	543
530	613	542
531	614	540
532	615	538
533	615	537
534	616	535
535	616	534
536	617	532
537	618	530
538	618	529
539	619	527
540	620	526
541	620	524
542	621	523
543	622	521
544	622	520
545	623	518
546	624	516
547	625	515
548	626	514
549	627	513
550	628	511
551	628	510
552	629	508
553	630	507
554	630	505
555	631	504
556	632	502
557	632	501
558	633	499
559	634	498
560	634	496
561	635	495
562	635	493
563	636	492
564	637	490
565	637	489
566	638	487
567	639	486
568	640	484
569	641	484
570	643	483
571	644	481
572	645	480
573	646	479
574	646	478
575	647	476
576	648	475
577	648	473
578	649	472
579	650	470
580	650	469
581	651	467
582	652	466
583	652	465
584	653	463
585	654	462
586	655	461
587	656	460
588	657	459
589	658	457
590	659	456
591	660	455
592	661	454
593	662	452
594	663	451
595	664	450
596	664	448
597	665	447
598	666	446
599	666	444
600	667	443
601	668	441
602	668	440
603	670	439
604	671	438
605	672	437
606	673	436
607	674	435
608	675	433
609	676	432
610	677	431
611	678	429
612	678	428
613	679	427
614	680	425
615	681	424
616	681	423
617	682	421
618	683	420
619	684	419
620	685	418
621	686	417
622	687	416
623	688	414
624	689	413
625	689	412
626	690	410
627	690	409
628	691	407
629	692	406
630	692	405
631	693	403
632	694	402
633	695	401
634	695	399
635	696	398
636	697	397
637	698	396
638	699	394
639	700	393
640	701	392
641	702	391
642	702	390
643	703	388
644	704	387
645	704	386
646	705	384
647	706	383
648	707	382
649	707	381
650	708	379
651	709	378
652	709	377
653	710	375
654	711	374
655	711	373
656	712	372
657	713	370
658	714	369
659	715	368
660	715	367
661	716	365
662	717	364
663	717	363
664	718	361
665	719	360
666	719	359
667	720	357
668	720	356
669	721	355
670	721	353
671	722	352
672	723	351
673	723	350
674	724	348
675	724	347
676	725	346
677	725	344
678	726	343
679	727	342
680	727	340
681	728	339
682	729	338
683	730	337
684	731	336
685	731	334
686	732	333
687	732	332
688	733	331
689	734	329
690	734	328
691	735	327
692	735	325
693	736	324
694	737	323
695	737	322
696	738	320
697	738	319
698	739	318
699	739	317
700	740	315
701	741	314
702	741	313
703	742	312
704	743	310
705	743	309
706	745	308
707	746	307
708	747	306
709	747	305
710	748	304
711	749	302
712	749	301
713	750	300
714	750	299
715	751	298
716	751	296
717	752	295
718	753	294
719	753	293
720	754	291
721	754	290
722	755	289
723	755	288
724	756	286
725	757	285
726	757	284
727	758	283
728	759	282
729	760	281
730	761	280
731	761	278
732	762	277
733	762	276
734	763	275
735	764	274
736	764	272
737	765	271
738	765	270
739	766	269
740	766	268
741	767	266
742	768	265
743	768	264
744	769	263
745	770	262
746	771	261
747	772	260
748	773	259
749	773	257
750	775	257
751	776	256
752	777	254
753	777	253
754	778	252
755	779	251
756	780	250
757	780	249
758	781	248
759	782	247
760	783	245
761	783	244
762	784	243
763	785	242
764	785	241
765	786	240
766	786	239
767	787	237
768	788	236
769	789	235
770	791	234
771	791	233
772	792	232
773	793	231
774	794	230
775	795	229
776	795	228
777	796	227
778	797	226
779	798	225
780	798	223
781	799	222
782	799	221
783	800	220
784	800	219
785	801	218
786	802	217
787	802	215
788	804	215
789	805	214
790	806	213
791	807	212
792	808	210
793	808	209
794	809	208
795	809	207
796	810	206
797	810	205
798	811	204
799	812	203
800	812	201
801	813	200
802	813	199
803	814	198
804	814	197
805	815	196
806	816	195
807	816	194
808	817	192
809	817	191
810	818	190
811	819	189
812	820	188
813	821	187
814	821	186
815	822	185
816	823	184
817	823	183
818	824	182
819	824	181
820	825	179
821	826	178
822	826	177
823	827	176
824	827	175
825	828	174
826	828	173
827	829	172
828	830	171
829	830	170
830	831	169
831	831	167
832	832	166
833	832	165
834	834	164
835	835	163
836	836	162
837	836	161
838	837	160
839	838	159
840	838	158
841	839	157
842	839	156
843	840	155
844	841	154
845	841	153
846	842	152
847	842	151
848	843	150
849	843	148
850	844	147
851	845	146
852	845	145
853	846	144
854	846	143
855	847	142
856	847	141
857	849	140
858	850	139
859	851	138
860	852	137
861	852	136
862	853	135
863	854	134
864	854	133
865	855	132
866	855	131
867	856	130
868	857	129
869	857	128
870	858	127
871	859	126
872	859	125
873	860	124
874	861	123
875	861	121
876	862	120
877	863	119
878	864	118
879	865	117
880	866	117
881	867	116
882	869	115
883	870	114
884	871	113
885	872	112
886	873	111
887	873	110
888	874	109
889	875	108
890	876	107
891	877	106
892	880	105
893	881	104
894	884	103
895	885	102
896	885	101
897	886	100
898	887	99
899	888	98
900	889	97
901	890	96
902	890	95
903	891	94
904	892	93
905	893	92
906	896	91
907	897	90
908	900	90
909	901	89
910	901	88
911	902	87
912	903	86
913	904	85
914	904	84
915	905	83
916	906	82
917	907	81
918	907	80
919	909	79
920	911	78
921	912	77
922	913	76
923	914	75
924	914	74
925	915	73
926	916	72
927	917	71
928	918	70
929	919	69
930	919	68
931	920	67
932	921	66
933	922	65
934	923	64
935	925	63
936	926	62
937	927	61
938	928	60
939	929	59
940	930	58
941	930	57
942	931	56
943	932	55
944	933	54
945	934	53
946	934	52
947	935	51
948	936	50
949	937	49
950	937	48
951	939	47
952	940	46
953	942	45
954	943	44
955	943	43
956	944	42
957	945	41
958	946	40
959	947	39
960	947	38
961	948	37
962	949	36
963	950	35
964	950	34
965	951	33
966	952	32
